symbol,date,feature,horizon,variant,n,rank_ic,ic,tstat,edge_bps,p_value
APP,2025-12-04,kyle_lambda_60s_zscore,300,count_window,145,-0.0253344023206371,0.010868600529511831,-0.30305265876916576,,
APP,2025-12-04,kyle_lambda_60s_zscore,300,horizon_window,92,0.04673026832914631,0.13196573441175602,0.4438070903667176,,
APP,2025-12-04,kyle_alignment,300,kyle_legacy_win,92,0.009601898802459811,-0.006170231088740782,0.09109580968705931,,
APP,2025-12-04,kyle_alignment,300,kyle_causal_win,92,0.04673026832914631,0.13196573441175602,0.4438070903667176,,
APP,2025-12-04,ofi_kyle_input,300,ofi_ewma_zscore,91,0.084472049689441,0.09198517377806818,0.7997662080418655,19.58983762437431,
APP,2025-12-04,ofi_kyle_input,300,ofi_integrated,98,0.19290527832501322,0.13140867136616938,1.926258170934684,18.291011890501945,
APP,2025-12-04,h8_disloc_lambda,300,lambda_elevated|incl,48,0.12939643942683457,0.06977969390537657,0.8850500181880104,18.601198200760837,0.3827113198883229
APP,2025-12-04,h8_disloc_lambda,300,lambda_baseline|incl,39,0.07004048582995952,0.1214926577134915,0.4270885083064124,,0.6738046382850461
APP,2025-12-04,h8_disloc_lambda,300,lambda_elevated|primary,38,0.0432213590108327,0.012732925036328948,0.25957071759584627,15.078661918671655,0.7980586249140638
APP,2025-12-04,h8_disloc_lambda,300,lambda_baseline|primary,31,0.10362903225806451,0.19137982773054846,0.5610802634364837,,0.5820937648626354
APP,2025-12-04,h8_disloc_lambda,300,lambda_elevated|binary,4,-0.2,-0.8225656857376106,-0.2886751345948129,,0.8393440770479637
APP,2025-12-04,h8_disloc_lambda,300,lambda_baseline|binary,5,-0.6,-0.8575669962258357,-1.299038105676658,,0.326958710257475
APP,2025-12-04,h8_disloc_lambda,300,lambda_contrast|primary,31,-0.06040767324723181,,-0.3259004390240352,,
APP,2025-12-22,ofi_ewma_zscore,300,count_window,101,0.08584284115135236,0.08257421175608023,0.8572900079232705,,
APP,2025-12-22,ofi_ewma_zscore,300,horizon_window,79,0.07356377799415774,0.048056455300929335,0.6472733096648979,,
APP,2025-12-22,micro_price_zscore,300,count_window,101,-0.03886766298966791,-0.05640402133199336,-0.3870208095797257,,
APP,2025-12-22,micro_price_zscore,300,horizon_window,79,0.06499513145082765,-0.013851812591651996,0.5715384355278328,,
APP,2025-12-22,realized_vol_30s_zscore,300,count_window,101,-0.10422769206132669,-0.125588105906047,-1.0427317202325068,,
APP,2025-12-22,realized_vol_30s_zscore,300,horizon_window,79,-0.16073515092502436,-0.17100013092337585,-1.4290260302527729,,
APP,2025-12-22,kyle_lambda_60s_zscore,300,count_window,101,0.0024627501209901867,-0.017942258244898996,0.02450412862175589,,
APP,2025-12-22,kyle_lambda_60s_zscore,300,horizon_window,79,0.07964946445959104,0.0854104714837471,0.701148809778429,,
APP,2025-12-22,kyle_alignment,300,kyle_legacy_win,79,0.07950340798442064,0.06277757083328343,0.6998548985208675,,
APP,2025-12-22,kyle_alignment,300,kyle_causal_win,79,0.07964946445959104,0.0854104714837471,0.701148809778429,,
APP,2025-12-22,ofi_kyle_input,300,ofi_ewma_zscore,79,0.07356377799415774,0.048056455300929335,0.6472733096648979,5.302924220025111,
APP,2025-12-22,ofi_kyle_input,300,ofi_integrated,79,-0.14800389483933787,-0.1071875306811522,-1.3131913745109305,-5.0497367703983995,
APP,2025-12-22,h8_disloc_lambda,300,lambda_elevated|incl,40,0.03583489681050657,-0.0161825243461895,0.22104311041689406,-3.8048078665742664,0.8273757065705009
APP,2025-12-22,h8_disloc_lambda,300,lambda_baseline|incl,40,0.18048780487804877,0.03238639621871789,1.1311786471808327,,0.2669885486176226
APP,2025-12-22,h8_disloc_lambda,300,lambda_elevated|primary,34,0.0826585179526356,0.05118527912417534,0.46919279941165964,10.962195919854787,0.6446008769074261
APP,2025-12-22,h8_disloc_lambda,300,lambda_baseline|primary,38,0.22617354196301565,0.045096723877659575,1.3931417002284865,,0.17332302459900584
APP,2025-12-22,h8_disloc_lambda,300,lambda_elevated|binary,2,,,,,
APP,2025-12-22,h8_disloc_lambda,300,lambda_baseline|binary,4,-1.0,-0.9984899670778011,inf,,0.0
APP,2025-12-22,h8_disloc_lambda,300,lambda_contrast|primary,34,-0.14351502401038005,,-0.8203355737455577,,
APP,2025-12-26,ofi_ewma_zscore,300,count_window,97,-0.008077958448432745,0.03949610072747533,-0.07873676868612582,,
APP,2025-12-26,ofi_ewma_zscore,300,horizon_window,78,0.01511147080767334,0.07924976003325733,0.1317537925574971,,
APP,2025-12-26,micro_price_zscore,300,count_window,98,-0.14080600840595528,-0.1295403585184059,-1.3934945937198797,,
APP,2025-12-26,micro_price_zscore,300,horizon_window,81,-0.1258807588075881,-0.10206736280580936,-1.1278240703935403,,
APP,2025-12-26,realized_vol_30s_zscore,300,count_window,97,0.047076441738586584,0.04453069482368415,0.4593536862759191,,
APP,2025-12-26,realized_vol_30s_zscore,300,horizon_window,77,0.07970976392029024,0.001766444308966995,0.6925102932582534,,
APP,2025-12-26,kyle_lambda_60s_zscore,300,count_window,98,-0.21855196691446171,-0.26752179518129543,-2.1944124430459495,,
APP,2025-12-26,kyle_lambda_60s_zscore,300,horizon_window,79,-0.10445472249269717,-0.04031430912619812,-0.9216281046556623,,
APP,2025-12-26,kyle_alignment,300,kyle_legacy_win,79,-0.09629990262901655,-0.0393728118077354,-0.848973937815929,,
APP,2025-12-26,kyle_alignment,300,kyle_causal_win,79,-0.10445472249269717,-0.04031430912619812,-0.9216281046556623,,
APP,2025-12-26,ofi_kyle_input,300,ofi_ewma_zscore,78,0.01511147080767334,0.07924976003325733,0.1317537925574971,3.1288114106875127,
APP,2025-12-26,ofi_kyle_input,300,ofi_integrated,80,-0.09000287156080218,-0.08648568009993511,-0.7981230164867736,-0.3950582502871049,
APP,2025-12-26,h8_disloc_lambda,300,lambda_elevated|incl,41,-0.06393728222996516,-0.23836468726802582,-0.4001068506758208,-5.038913877412362,0.693083292708867
APP,2025-12-26,h8_disloc_lambda,300,lambda_baseline|incl,37,-0.20056899004267426,-0.2345068941503611,-1.2111941198526606,,0.23578813576445934
APP,2025-12-26,h8_disloc_lambda,300,lambda_elevated|primary,35,-0.06218487394957983,-0.2835384689804628,-0.35791760063895783,-4.080290507021855,0.7246693412291347
APP,2025-12-26,h8_disloc_lambda,300,lambda_baseline|primary,35,-0.21820728291316527,-0.23513156779047586,-1.2844576969340553,,0.2096467122544854
APP,2025-12-26,h8_disloc_lambda,300,lambda_elevated|binary,13,0.5054945054945055,0.3281210506385088,1.943066363703275,4.704420105967494,0.07835508849803934
APP,2025-12-26,h8_disloc_lambda,300,lambda_baseline|binary,7,0.25,0.22696828665486535,0.5773502691896257,,0.6094731650204634
APP,2025-12-26,h8_disloc_lambda,300,lambda_contrast|primary,35,0.15602240896358543,,0.9073928750971811,,
APP,2025-12-30,ofi_ewma_zscore,300,count_window,96,0.2007604722041709,0.17433892811909182,1.9868975148286494,,
APP,2025-12-30,ofi_ewma_zscore,300,horizon_window,80,0.18518518518518517,0.181447976970611,1.6642975586223647,,
APP,2025-12-30,micro_price_zscore,300,count_window,132,-0.20480456663693022,-0.17409592815996838,-2.385701321345234,,
APP,2025-12-30,micro_price_zscore,300,horizon_window,83,0.04221065446454809,0.024754211646627652,0.3802347808376278,,
APP,2025-12-30,realized_vol_30s_zscore,300,count_window,95,-0.030209674252954222,0.05085555872484855,-0.29146457730238673,,
APP,2025-12-30,realized_vol_30s_zscore,300,horizon_window,79,0.06200097370983447,0.1514785260327105,0.5451050699753671,,
APP,2025-12-30,kyle_lambda_60s_zscore,300,count_window,107,0.06382282430736252,0.02200324474892167,0.6553253861407056,,
APP,2025-12-30,kyle_lambda_60s_zscore,300,horizon_window,81,0.08818879855465221,0.06586733040528084,0.7869051444096573,,
APP,2025-12-30,kyle_alignment,300,kyle_legacy_win,81,-0.061585365853658536,0.031587514456171806,-0.548423711993384,,
APP,2025-12-30,kyle_alignment,300,kyle_causal_win,81,0.08818879855465221,0.06586733040528084,0.7869051444096573,,
APP,2025-12-30,ofi_kyle_input,300,ofi_ewma_zscore,80,0.18518518518518517,0.181447976970611,1.6642975586223647,5.3164563303209045,
APP,2025-12-30,ofi_kyle_input,300,ofi_integrated,80,0.055250820440693856,0.13160495236296105,0.48870853275993814,5.858238947749432,
APP,2025-12-30,h8_disloc_lambda,300,lambda_elevated|incl,42,0.17024552305323717,0.2269052757334288,1.0926785040762552,11.23036495160187,0.2829854257296777
APP,2025-12-30,h8_disloc_lambda,300,lambda_baseline|incl,37,-0.01422475106685633,0.255828146466611,-0.0841632775849181,,0.9338917465995198
APP,2025-12-30,h8_disloc_lambda,300,lambda_elevated|primary,38,0.2172010066746909,0.40871952596814864,1.335078504193931,22.074689858305028,0.19162830255324856
APP,2025-12-30,h8_disloc_lambda,300,lambda_baseline|primary,34,-0.04904507257448434,0.23385013648787203,-0.27777511113891395,,0.7846297834910727
APP,2025-12-30,h8_disloc_lambda,300,lambda_elevated|binary,1,,,,,
APP,2025-12-30,h8_disloc_lambda,300,lambda_baseline|binary,4,-0.8,-0.8619944236012288,-1.8856180831641272,,0.2719372152828489
APP,2025-12-30,h8_disloc_lambda,300,lambda_contrast|primary,34,0.2662460792491752,,1.5625140672067381,,
APP,2026-01-05,ofi_ewma_zscore,300,count_window,103,-0.03913791607777057,-0.028572962990682002,-0.3936327829077759,,
APP,2026-01-05,ofi_ewma_zscore,300,horizon_window,80,0.03931082981715893,0.03119847591207815,0.34745241849343994,,
APP,2026-01-05,micro_price_zscore,300,count_window,103,-0.09784023327457537,-0.055518820244134834,-0.9880225744552896,,
APP,2026-01-05,micro_price_zscore,300,horizon_window,83,-0.06704168590739264,-0.07121671922152208,-0.6047357225200571,,
APP,2026-01-05,realized_vol_30s_zscore,300,count_window,103,-0.06488371853968253,-0.0518655508371448,-0.6534502309322349,,
APP,2026-01-05,realized_vol_30s_zscore,300,horizon_window,80,-0.03352086263478669,-0.06919222634424939,-0.2962147101669413,,
APP,2026-01-05,kyle_lambda_60s_zscore,300,count_window,103,0.09508029973774955,0.06091205146328464,0.9598938838114985,,
APP,2026-01-05,kyle_lambda_60s_zscore,300,horizon_window,80,0.0863103609939053,0.08609488420046194,0.7651276971479551,,
APP,2026-01-05,kyle_alignment,300,kyle_legacy_win,80,-0.03518518518518519,0.07913270416133682,-0.3109396724303382,,
APP,2026-01-05,kyle_alignment,300,kyle_causal_win,80,0.0863103609939053,0.08609488420046194,0.7651276971479551,,
APP,2026-01-05,ofi_kyle_input,300,ofi_ewma_zscore,80,0.03931082981715893,0.03119847591207815,0.34745241849343994,4.664692520978097,
APP,2026-01-05,ofi_kyle_input,300,ofi_integrated,80,-0.0007266760431317394,-0.0406441313454484,-0.006417830734722747,0.8545707356012283,
APP,2026-01-05,h8_disloc_lambda,300,lambda_elevated|incl,46,-0.11082331174838113,-0.5624319256847886,-0.7396749918596004,-30.192262745136322,0.4655648353983876
APP,2026-01-05,h8_disloc_lambda,300,lambda_baseline|incl,34,0.010236822001527883,0.2626923580118185,0.057911244452895215,,0.9545466259930557
APP,2026-01-05,h8_disloc_lambda,300,lambda_elevated|primary,39,-0.16923076923076924,-0.6057397881886124,-1.0444553315346474,-48.90493808814907,0.30524624093254943
APP,2026-01-05,h8_disloc_lambda,300,lambda_baseline|primary,28,0.08210180623973727,0.34856465700126293,0.4200568459388489,,0.6807534817018652
APP,2026-01-05,h8_disloc_lambda,300,lambda_elevated|binary,0,,,,,
APP,2026-01-05,h8_disloc_lambda,300,lambda_baseline|binary,1,,,,,
APP,2026-01-05,h8_disloc_lambda,300,lambda_contrast|primary,28,-0.2513325754705065,,-1.3240506897652902,,
APP,2026-01-12,ofi_ewma_zscore,300,count_window,96,-0.01184042351219838,-0.002223593010530881,-0.11480521300332652,,
APP,2026-01-12,ofi_ewma_zscore,300,horizon_window,79,0.08055014605647517,0.09402922356464934,0.7091289367164118,,
APP,2026-01-12,micro_price_zscore,300,count_window,96,0.12440399080297615,0.1711390403531435,1.2155845269717234,,
APP,2026-01-12,micro_price_zscore,300,horizon_window,79,0.14264849074975658,0.18839842214222,1.2646686710708075,,
APP,2026-01-12,realized_vol_30s_zscore,300,count_window,96,-0.1603901047025953,-0.09414424165673482,-1.5754358184386266,,
APP,2026-01-12,realized_vol_30s_zscore,300,horizon_window,79,-0.08483446932814022,-0.10830749021128172,-0.747112744837831,,
APP,2026-01-12,kyle_lambda_60s_zscore,300,count_window,96,0.02264829502133915,-0.014896241583838263,0.21963970595899301,,
APP,2026-01-12,kyle_lambda_60s_zscore,300,horizon_window,80,0.1405532114392874,0.08954443829552677,1.253778453201465,,
APP,2026-01-12,kyle_alignment,300,kyle_legacy_win,80,-0.16284575714955463,-0.19537898879958226,-1.4576724693733087,,
APP,2026-01-12,kyle_alignment,300,kyle_causal_win,80,0.1405532114392874,0.08954443829552677,1.253778453201465,,
APP,2026-01-12,ofi_kyle_input,300,ofi_ewma_zscore,79,0.08055014605647517,0.09402922356464934,0.7091289367164118,2.2758288256488526,
APP,2026-01-12,ofi_kyle_input,300,ofi_integrated,79,0.09961051606621227,0.10095749492368115,0.8784476865161494,12.511679199454672,
APP,2026-01-12,h8_disloc_lambda,300,lambda_elevated|incl,40,0.3630393996247655,0.35911915537422473,2.401790203279626,34.19216899592436,0.020680067005004344
APP,2026-01-12,h8_disloc_lambda,300,lambda_baseline|incl,39,-0.22894736842105262,-0.322680363600191,-1.4306317667420942,,0.16197199159830497
APP,2026-01-12,h8_disloc_lambda,300,lambda_elevated|primary,36,0.35366795366795367,0.3430444611855927,2.204708870619725,30.80924816766451,0.03372351569766526
APP,2026-01-12,h8_disloc_lambda,300,lambda_baseline|primary,37,-0.27430061640587955,-0.3991361987494135,-1.6875104932505203,,0.10070149275610184
APP,2026-01-12,h8_disloc_lambda,300,lambda_elevated|binary,7,0.21428571428571427,0.178680246249352,0.4905524551257964,33.694699593102435,0.6633315695334157
APP,2026-01-12,h8_disloc_lambda,300,lambda_baseline|binary,4,-0.8,-0.8756721675690664,-1.8856180831641272,,0.2719372152828489
APP,2026-01-12,h8_disloc_lambda,300,lambda_contrast|primary,36,0.6279685700738332,,4.705053245349146,,
APP,2026-01-15,ofi_ewma_zscore,300,count_window,107,0.17365950811065325,0.1561874033183317,1.8069354494200032,,
APP,2026-01-15,ofi_ewma_zscore,300,horizon_window,82,0.19868090247167533,0.15285945272432108,1.8132036216320542,,
